Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
562,"562.96672","Escherichia coli VREC0860","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
573,"573.14023","Klebsiella pneumoniae KPN286ec","ciprofloxacin","Resistant",">2",">","2","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
562,"562.42788","Escherichia coli strain M33","ciprofloxacin","Resistant","4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,
562,"562.96994","Escherichia coli VRES1153","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
470,"470.7983","Acinetobacter baumannii strain MRSN7669","ciprofloxacin","Resistant","2",">","2","mg/L","Broth dilution",,"BD Phoenix","BD","CLSI",,,,,"Laboratory Method",,
573,"573.66735","Klebsiella pneumoniae KP_NORM_BLD_116604","ciprofloxacin","Resistant",,,,,,,,,"EUCAST",,,,,"Laboratory Method",,"34935048"
1280,"1280.29714","Staphylococcus aureus strain HICF0032","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
470,"470.7678","Acinetobacter baumannii strain MRSN7220","ciprofloxacin","Resistant","2",">","2","mg/L","Broth dilution",,"BD Phoenix","BD","CLSI",,,,,"Laboratory Method",,
573,"573.15662","Klebsiella pneumoniae strain K1031","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2014,,,,"Laboratory Method",,"26769896"
485,"485.14958","Neisseria gonorrhoeae AUSMDU00012977","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,"Australian Gonococcal Surveillance Programme (AGSP)",,,,,"Laboratory Method",,"31488838"
485,"485.13189","Neisseria gonorrhoeae AUSMDU00011508","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,"Australian Gonococcal Surveillance Programme (AGSP)",,,,,"Laboratory Method",,"31488838"
624,"624.3496","Shigella sonnei Sh sonnei_684","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,"EUCAST",,,,,"Laboratory Method",,"31645551"
485,"485.15619","Neisseria gonorrhoeae AUSMDU00011117","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,"Australian Gonococcal Surveillance Programme (AGSP)",,,,,"Laboratory Method",,"31488838"
1280,"1280.15885","Staphylococcus aureus strain N35_200515","ciprofloxacin","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"28704546"
61645,"61645.211","Enterobacter asburiae strain FH-1","ciprofloxacin","Resistant","2",">","2","mg/L","Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,
573,"573.29961","Klebsiella pneumoniae strain Kpngiani7132504","ciprofloxacin","Resistant",">2",">","2","mg/L","Broth dilution",,,"Merlin Diagnostika","EUCAST",2020,,,,"Laboratory Method",,"33188415"
624,"624.2563","Shigella sonnei strain AUSMDU00011143","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,"CLSI",2017,,,,"Laboratory Method",,"30615105"
624,"624.3729","Shigella sonnei AUSMDU00009481","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,"CLSI",2017,,,,"Laboratory Method",,"30615105"
