Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
562,"562.99082","Escherichia coli 3d55b15a-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
485,"485.16486","Neisseria gonorrhoeae AUSMDU00012819","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"Australian Gonococcal Surveillance Programme (AGSP)",,,,,"Laboratory Method",,"31488838"
562,"562.100133","Escherichia coli ee6794b4-7bb8-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.97009","Escherichia coli VREC1107","ciprofloxacin","Susceptible","<=0.25","<=","0.25","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
197,"197.16266","Campylobacter jejuni strain FSIS1606741","ciprofloxacin","Susceptible","0.06","=","0.06","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
287,"287.7804","Pseudomonas aeruginosa strain MRSN373401","ciprofloxacin","Susceptible","<=0.5","<=","0.5","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
485,"485.14036","Neisseria gonorrhoeae AUSMDU00014974","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"Australian Gonococcal Surveillance Programme (AGSP)",,,,,"Laboratory Method",,"31488838"
28901,"28901.24025","Salmonella enterica AUSMDU00016328","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"CLSI",2018,,,,"Laboratory Method",,"34907895"
573,"573.26215","Klebsiella pneumoniae strain 5012STDY7312678","ciprofloxacin","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux",,,,,,"Laboratory Method",,"31038449"
90370,"90370.3201","Salmonella enterica subsp. enterica serovar Typhi strain 343077_291161","ciprofloxacin","Susceptible","0.0625",,"0.0625","mg/L","Broth dilution",,,,"EUCAST",2018,,,,"Laboratory Method",,"30425150"
195,"195.2034","Campylobacter coli strain FSIS1605625","ciprofloxacin","Susceptible","0.25","=","0.25","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
485,"485.13172","Neisseria gonorrhoeae AUSMDU00012326","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"Australian Gonococcal Surveillance Programme (AGSP)",,,,,"Laboratory Method",,"31488838"
485,"485.17544","Neisseria gonorrhoeae AUSMDU00015124","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"Australian Gonococcal Surveillance Programme (AGSP)",,,,,"Laboratory Method",,"31488838"
28901,"28901.22206","Salmonella enterica AUSMDU00033444","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"CLSI",2018,,,,"Laboratory Method",,"34907895"
573,"573.66588","Klebsiella pneumoniae KP_NORM_BLD_111583","ciprofloxacin","Susceptible",,,,,,,,,"EUCAST",,,,,"Laboratory Method",,"34935048"
90371,"90371.7046","Salmonella enterica subsp. enterica serovar Typhimurium AUSMDU00003628","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"CLSI",2018,,,,"Laboratory Method",,"34907895"
562,"562.23333","Escherichia coli O1:H7 strain ECO1096","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
28901,"28901.8830","Salmonella enterica strain CVM N40921","ciprofloxacin","Susceptible","0.015","<=","0.015","mg/L","Broth dilution",,,"Trek Diagnostic Systems","CLSI",,,,,"Laboratory Method",,
562,"562.23034","Escherichia coli O75:H7 strain ECO0670","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
28901,"28901.23246","Salmonella enterica AUSMDU00033561","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"CLSI",2018,,,,"Laboratory Method",,"34907895"
28901,"28901.9056","Salmonella enterica strain CVM N53048","ciprofloxacin","Susceptible","0.03","=","0.03","mg/L","Broth dilution",,,"Trek Diagnostic Systems","CLSI",,,,,"Laboratory Method",,
562,"562.23177","Escherichia coli O159:H4 strain ECO0794","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.23002","Escherichia coli O45:H7 strain ECO0627","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,,,,,,"Laboratory Method",,"28720578"
562,"562.100585","Escherichia coli 4551aa08-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
562,"562.58647","Escherichia coli strain WU40","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"CLSI",2015,,,,"Laboratory Method",,"27965630"
485,"485.13244","Neisseria gonorrhoeae AUSMDU00011233","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"Australian Gonococcal Surveillance Programme (AGSP)",,,,,"Laboratory Method",,"31488838"
573,"573.67045","Klebsiella pneumoniae KP_NORM_BLD_61898","ciprofloxacin","Susceptible",,,,,,,,,"EUCAST",,,,,"Laboratory Method",,"34935048"
562,"562.96748","Escherichia coli VREC0895","ciprofloxacin","Susceptible","<=0.25","<=","0.25","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
562,"562.99889","Escherichia coli b22ac39e-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Susceptible",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
28901,"28901.22585","Salmonella enterica AUSMDU00018706","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"CLSI",2018,,,,"Laboratory Method",,"34907895"
28901,"28901.22639","Salmonella enterica AUSMDU00019138","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"CLSI",2018,,,,"Laboratory Method",,"34907895"
28901,"28901.24197","Salmonella enterica AUSMDU00033397","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"CLSI",2018,,,,"Laboratory Method",,"34907895"
28901,"28901.8383","Salmonella enterica strain 2014AM-2899","ciprofloxacin","Susceptible","0.015","<=","0.015","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
624,"624.2077","Shigella sonnei strain 166969","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
485,"485.15036","Neisseria gonorrhoeae AUSMDU00013407","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"Australian Gonococcal Surveillance Programme (AGSP)",,,,,"Laboratory Method",,"31488838"
28901,"28901.22242","Salmonella enterica AUSMDU00033479","ciprofloxacin","Susceptible",,,,,"Agar dilution",,,,"CLSI",2018,,,,"Laboratory Method",,"34907895"
611,"611.70","Salmonella enterica subsp. enterica serovar Heidelberg strain CVM N32052","ciprofloxacin","Susceptible","<=0.015","<=","0.015","mg/L","Broth dilution",,"CMV2AGNF/CMV3AGNF","Thermo Fisher Scientific","CLSI",2015,,,,"Laboratory Method",,"27381390"
